Mandal,Village
VELAIRPADU,GUNDLAVAI
VELAIRPADU,KOYAMADARAM
VELAIRPADU,TEKUPALLE
VELAIRPADU,LACHAPETA
VELAIRPADU,RAMAVARAM
VELAIRPADU,PARENTAPALLE
VELAIRPADU,KOTHURU
VELAIRPADU,KACHARAM
VELAIRPADU,RUDRAMKOTA
VELAIRPADU,REPAKAGOMMU
VELAIRPADU,THATUKUR
VELAIRPADU,NARLAVARAM
VELAIRPADU,CHIGURUMAMIDI
VELAIRPADU,SIDDARAM
VELAIRPADU,KATUKUR
VELAIRPADU,TIRUMALAPURAM
KAMAVARAPUKOTA,KONDAGUDEM
KAMAVARAPUKOTA,TADIKALAPUDI
KAMAVARAPUKOTA,POLASIGUDEM
KAMAVARAPUKOTA,KALLACHERUVU
KAMAVARAPUKOTA,KHANDRIKASEETHARAMAPURA
KAMAVARAPUKOTA,ANKALAMPADU
KAMAVARAPUKOTA,KAMAVARAPUKOTA
KAMAVARAPUKOTA,VADLAPATLANUTHANAM
KAMAVARAPUKOTA,RAMANNAPALEM
KAMAVARAPUKOTA,EDAVALLI
KAMAVARAPUKOTA,MANKENAPALLE
KAMAVARAPUKOTA,UPPALAPADU
KAMAVARAPUKOTA,GUNTUPALLE
KAMAVARAPUKOTA,RAJUNAGULAPALLE
KAMAVARAPUKOTA,MYSANAGUDEM
KAMAVARAPUKOTA,SAYANARAOPALEM
KAMAVARAPUKOTA,RAVIKAMPADU
T NARASAPURAM,KOTHAVARAM
T NARASAPURAM,RAMANNAPALEM
T NARASAPURAM,ALLAMCHERLARAJUPALEM
T NARASAPURAM,LINGARAOPALEM
T NARASAPURAM,SRIRAMAVARAM
T NARASAPURAM,KRISHNARAOPALEM
T NARASAPURAM,TEDLAM
T NARASAPURAM,RAJUPOTHEPALLI
T NARASAPURAM,GUDLAPALLI
T NARASAPURAM,BANDAMCHERLA
T NARASAPURAM,VALLAMPATLA
T NARASAPURAM,BORRAMPALEM
T NARASAPURAM,KOLLIVARIGUDEM
T NARASAPURAM,TIRUMALADEVIPETA
T NARASAPURAM,EPIGUNTA
T NARASAPURAM,GURAVAIGUDEM
T NARASAPURAM,T.NARASAPURAM
T NARASAPURAM,VAKALAPUDI
T NARASAPURAM,KRISHNAPURAM
T NARASAPURAM,APPALARAJUGUDEM
T NARASAPURAM,BANDIVARIGUDEM
T NARASAPURAM,MAKKINAVARIGUDEM
T NARASAPURAM,VILAGAPADU
DWARAKA TIRUMALA,KOMMARA(NORTH)
DWARAKA TIRUMALA,DADAVALLI
DWARAKA TIRUMALA,TIRUMALAMPALEM
DWARAKA TIRUMALA,KRISHNAPURAM
DWARAKA TIRUMALA,HAVELILINGAPALEM
DWARAKA TIRUMALA,VEMPADU
DWARAKA TIRUMALA,M.NAGULAPALLI
DWARAKA TIRUMALA,JAJULAKUNTA
DWARAKA TIRUMALA,MALASANIKUNTA
DWARAKA TIRUMALA,GOLLAVADIKUNTA KHANDRIK
DWARAKA TIRUMALA,PANGIDIGUDEM
DWARAKA TIRUMALA,SATTALA
DWARAKA TIRUMALA,P.KANNAPURAM
DWARAKA TIRUMALA,SARABHAPURAM
DWARAKA TIRUMALA,GOPIKUNTA KHANDRIKA
DWARAKA TIRUMALA,I.S.RAGHAVAPURAM
DWARAKA TIRUMALA,CHELIKANIVANIPOTHEPALLE
DWARAKA TIRUMALA,GUNNAMPALLE
DWARAKA TIRUMALA,KOMMARA(SOUTH)
DWARAKA TIRUMALA,KODIGUDEM
DWARAKA TIRUMALA,G.KOTHAPALLE
DWARAKA TIRUMALA,NARAYANAPURAM
DWARAKA TIRUMALA,I.S.JAGANNADHAPURAM
DWARAKA TIRUMALA,LINGARAOPALEM
DWARAKA TIRUMALA,DORASANIPADU
DWARAKA TIRUMALA,GUNDUGOLANUKUNTA
DWARAKA TIRUMALA,MALLESWARAM
DWARAKA TIRUMALA,THIMMAPURAM
DWARAKA TIRUMALA,RALLAKUNTA
DWARAKA TIRUMALA,SATHENAGUDEM
DWARAKA TIRUMALA,KOMMUGUDEM
DWARAKA TIRUMALA,VENKATAKRISHNAPURAM
DWARAKA TIRUMALA,RAMANNAGUDEM
DWARAKA TIRUMALA,DWARAKATIRUMALA
NUZVID,RAMANNAGUDEM
NUZVID,POLASANAPALLE
NUZVID,MORSAPUDI
NUZVID,DEVARAGUNTA
NUZVID,VEMPADU
NUZVID,GOLLAPALLE
NUZVID,MIRIJAPURAM
NUZVID,SEETARAMPURAM
NUZVID,PALLERLAMUDI
NUZVID,MARRIBANDAM
NUZVID,BATHULAVARIGUDEM
NUZVID,THUKKULUR M
NUZVID,MOKHASA NARASANNAPALEM
NUZVID,MUKKOLLUPADU
NUZVID,BORAVANCHA
NUZVID,JANGAMGUDEM
NUZVID,DIGAVALLI
NUZVID,ANNAVARAM
NUZVID,HANUMANTHUNIGUDEM
NUZVID,VENKATAYAPALEM
NUZVID,NUZVID
NUZVID,ENAMADALA
NUZVID,RAVICHERLA
NUZVID,PATHUREDDIPALLE
NUZVID,SUNKOLLU
NUZVID,NARSUPET
AGIRIPALLE,POTHAVARAPPADU
AGIRIPALLE,BODDANAPALLE
AGIRIPALLE,GARIKAPATIVARI KHANDRIK
AGIRIPALLE,PINNAMAREDDIPALLE
AGIRIPALLE,NUGONDAPALLE
AGIRIPALLE,CHOPPARAMETLA
AGIRIPALLE,KALATUR
AGIRIPALLE,ADIVINEKKALAM
AGIRIPALLE,ANANTASAGARAM
AGIRIPALLE,VADLAMANU
AGIRIPALLE,EDULAGUDEM
AGIRIPALLE,AGIRIPALLE
AGIRIPALLE,KANASANAPALLE
AGIRIPALLE,THOTAPALLE
AGIRIPALLE,NARASINGAPALEM
AGIRIPALLE,SAGGURU
AGIRIPALLE,KRISHNAVARAM
AGIRIPALLE,TADEPALLE
AGIRIPALLE,MALLESWARAM
AGIRIPALLE,MALLIBOINAPALLE
AGIRIPALLE,EDARA
AGIRIPALLE,VATTIGUDIPADU
AGIRIPALLE,SURAVARAM
CHATRAI,POLAVARAM
CHATRAI,ARUGOLANUPETA
CHATRAI,BURUGUGUDEM
CHATRAI,CHITTAPUR
CHATRAI,KRISHNARAOPALEM
CHATRAI,JANARDHANAVARAM
CHATRAI,TUMMAGUDEM
CHATRAI,SOMAVARAM
CHATRAI,KOTHAGUDEM
CHATRAI,CHATRAI
CHATRAI,POTHANAPALLE
CHATRAI,KOTAPADU
CHATRAI,CHINNAMPET
CHATRAI,PARVATAPURAM
CHATRAI,CHANUBANDA
CHATRAI,MANKOLLU
MUSUNURU,SUREPALLE
MUSUNURU,GOPAVARAM
MUSUNURU,ELLAPURAM
MUSUNURU,BALIVE
MUSUNURU,MUSUNURU
MUSUNURU,TALLAVALLI
MUSUNURU,KORLAGUNTA
MUSUNURU,CHINTALAVALLI
MUSUNURU,AKKIREDDIGUDEM
MUSUNURU,CHAKKAPALLE
MUSUNURU,CHILLABOINAPALLE
MUSUNURU,LOPUDI
MUSUNURU,RAMANAKKAPETA
MUSUNURU,VELPUCHERLA
MUSUNURU,KATRENIPADU
MUSUNURU,GULLAPUDI
CHINTALAPUDI,AMUDALACHALAKA
CHINTALAPUDI,RECHARLA
CHINTALAPUDI,TALARLAPALLE
CHINTALAPUDI,CHINTALAPUDI
CHINTALAPUDI,LAKSHMINARASIMHAPURAM
CHINTALAPUDI,GANIJERLA
CHINTALAPUDI,URLAGUDEM
CHINTALAPUDI,POTHUNURU
CHINTALAPUDI,VENKATARAYAPURAM
CHINTALAPUDI,ENDAPALLE
CHINTALAPUDI,GURUBHATLAGUDEM
CHINTALAPUDI,LINGAGUDEM
CHINTALAPUDI,RAGHAVAPURAM
CHINTALAPUDI,VENKATADRIGUDEM
CHINTALAPUDI,KANUPADE
CHINTALAPUDI,SEETTIVARIGUDEM
CHINTALAPUDI,KANTAMPALEM
CHINTALAPUDI,GOPALAPURAM
CHINTALAPUDI,TEEGALAVANCHA
CHINTALAPUDI,ERRAGUNTAPALLE
CHINTALAPUDI,GUDIPADUKHANDRIKA
CHINTALAPUDI,NAMAVARAM
CHINTALAPUDI,PATTAYAGUDEM
CHINTALAPUDI,RANGAPURAM KHANDRIKA
CHINTALAPUDI,MADDIMETHINAGUDEM
CHINTALAPUDI,UTASAMUDRAM
CHINTALAPUDI,ALLIPALLE
CHINTALAPUDI,SEETHANAGARAM
CHINTALAPUDI,GONNEPALLE
CHINTALAPUDI,CHINTAMPALLE
CHINTALAPUDI,VENKATAPURAM
CHINTALAPUDI,PRAGADAVARAM
CHINTALAPUDI,PONUKUMADU
CHINTALAPUDI,SANKUCHAKRAPURAM
CHINTALAPUDI,THIMMAREDDIPALLE
CHINTALAPUDI,ERRAMPALLE
CHINTALAPUDI,MALLAYAGUDEM
CHINTALAPUDI,VENKAMMAPALEM
LINGAPALEM,KONIJERLA
LINGAPALEM,PUPPULAVARIGUDEM
LINGAPALEM,MULAGALAMPADU
LINGAPALEM,BHOGOLE
LINGAPALEM,CHANDRANNAPALEM
LINGAPALEM,MATTAMGUDEM
LINGAPALEM,TUVVACHALAKARAYUDUPALEM
LINGAPALEM,MUDICHERLA
LINGAPALEM,DHARMAJIGUDEM
LINGAPALEM,KALARAYANAGUDEM
LINGAPALEM,LINGAPALEM
LINGAPALEM,KALYANAMPADU
LINGAPALEM,RANGAPURAM
LINGAPALEM,YEDAVALLI
LINGAPALEM,BADARALA
LINGAPALEM,MALLESWARAM
LINGAPALEM,SINGAGUDEM
LINGAPALEM,KOTHAPALLE
LINGAPALEM,POCHAVARAM
LINGAPALEM,PATCHANAGARAM
LINGAPALEM,KOTHULAGOKAVARAM
LINGAPALEM,GANAPAVARIGUDEM
LINGAPALEM,ASANNAGUDEM
LINGAPALEM,VEMULAPALLE
LINGAPALEM,AYYAPARAJUGUDEM
ELURU(Urban),CHODIMELLA
ELURU(Urban),TANGELLAMUDI
ELURU(Urban),SANIVARAPUPETA
ELURU(Urban),SATRAMPADU
ELURU(Urban),GAVARAVARAM
ELURU(Urban),ELURU (R)
ELURU(Urban),KOMADAVOLE
ELURU(Urban),PONANGI
